"CodigoEstacion,""CodigoSensor"",""FechaObservacion"",""ValorObservado"",""NombreEstacion"",""Departamento"",""Municipio"",""ZonaHidrografica"",""Latitud"",""Longitud"",""DescripcionSensor"",""UnidadMedida"""
"0035235010,""0240"",""2024 Mar 28 07:50:00 AM"",""0,5"",""CARDON EL"",""BOYACÁ"",""SOCOTÁ"",""META"",""6,01166667"",""-72,52927778"",""PRECIPITACIÓN"",""mm"""
"0016017020,""0240"",""2024 Jan 01 03:30:00 PM"",""0,1"",""LA DONJUANA"",""NORTE DE SANTANDER"",""CHINÁCOTA"",""CATATUMBO"",""7,68797222"",""-72,60547222"",""PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 12:06:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
"0052057100,""0240"",""2024 Jan 01 01:10:00 PM"",""0,01"",""RUMICHACA"",""NARIÑO"",""IPIALES"",""PATÍA"",""0,81378611"",""-77,66197778"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 11:14:00 PM"",""0,2"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0035235010,""0240"",""2024 Jan 01 12:10:00 PM"",""0,5"",""CARDON EL"",""BOYACÁ"",""SOCOTÁ"",""META"",""6,01166667"",""-72,52927778"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 09:04:00 PM"",""0,1"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0054025010,""0240"",""2024 Jan 01 11:40:00 AM"",""6,7"",""SAN JOSE PALMAR"",""CHOCÓ"",""NÓVITA"",""SAN JUÁN"",""4,89808333"",""-76,67666667"",""PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 02:34:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
"0029045190,""0240"",""2024 Jan 01 01:30:00 PM"",""0,19"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0240"",""2024 Jan 01 01:10:00 PM"",""1,94"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 06:22:00 PM"",""0,1"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 12:08:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
